#file	clusteren	cluster-cluster
1_seed.data	-1983.11314088991	-1248.58060485101
2_seed.data	-1925.5000312608	-1016.74553259008
3_seed.data	-1787.18561594799	-1012.60707138704
4_seed.data	-1598.22344590532	-1011.79699624747
5_seed.data	-1642.69240648543	-975.8478341933
6_seed.data	-1560.78365480072	-884.067747481158
7_seed.data	-1688.96408258071	-902.956052269843
8_seed.data	-1814.29222775088	-1210.80196322093
9_seed.data	-1801.13072011192	-1101.22334107505
10_seed.data	-1863.3936197971	-1023.56810122094
11_seed.data	-1972.63415560142	-1230.25924726822
12_seed.data	-1589.8276275338	-979.173395399314
13_seed.data	-1857.9446568984	-1118.10071010083
14_seed.data	-1991.25953438158	-1360.87555410401
15_seed.data	-1562.91283007107	-993.420042102777
16_seed.data	-1825.97077069912	-1083.15938361447
17_seed.data	-1940.9773877859	-1262.14094540991
18_seed.data	-1959.02328030869	-1336.14008697842
19_seed.data	-1749.28229957185	-1191.72319149085
20_seed.data	-1991.06700191259	-1307.18906582049
21_seed.data	-1798.4201971395	-1034.72473144835
22_seed.data	-1916.13612517856	-1278.25743965299
23_seed.data	-1893.61584715454	-1245.74257599822
24_seed.data	-1951.94021191807	-1134.52728040842
25_seed.data	-1907.8835331913	-1202.45876409739
26_seed.data	-1515.38770608874	-839.038200763217
27_seed.data	-1539.97616950744	-806.50535690489
28_seed.data	-1873.90547835885	-1113.52701195946
29_seed.data	-1540.69302216232	-955.032390051668
30_seed.data	-1627.42347496847	-1043.24450051747
31_seed.data	-1748.02938235173	-1181.00922992336
32_seed.data	-1939.31850076319	-1264.71605479991
33_seed.data	-1518.69613812156	-799.055603464782
34_seed.data	-1815.6532721053	-1015.51499844509
35_seed.data	-1732.55598102018	-1024.77141062269
36_seed.data	-1759.4045847602	-1163.87702723972
37_seed.data	-1910.05650510167	-1282.59314147487
38_seed.data	-1532.24562548249	-784.147966573305
39_seed.data	-1931.67919007764	-1311.62636752389
40_seed.data	-1612.31726391471	-1038.28161525184
41_seed.data	-1833.23382263014	-1149.03800372583
42_seed.data	-1850.01852336039	-1054.23826384493
43_seed.data	-1629.47720378316	-963.382509625572
44_seed.data	-1500.74299366629	-921.985468704366
45_seed.data	-1991.69235718102	-1334.92154943341
46_seed.data	-1712.27561813024	-1077.57553240362
47_seed.data	-1942.41263158099	-1155.6062122623
48_seed.data	-1873.27613697678	-1084.70063842198
49_seed.data	-1954.71833244345	-1220.51122567507
50_seed.data	-1693.73245532257	-1018.43620955682
51_seed.data	-1734.38674698671	-994.768084769237
52_seed.data	-1805.69332502858	-1144.43210337742
53_seed.data	-1871.45367101072	-1211.77850344459
54_seed.data	-1583.76589322846	-967.320359769704
55_seed.data	-1702.72287170832	-995.320553767826
56_seed.data	-1705.27694153357	-1130.92132783018
57_seed.data	-1722.59785588895	-1077.12924032454
58_seed.data	-1960.65644914834	-1235.62607747074
59_seed.data	-1651.05199876105	-956.772432860825
60_seed.data	-1682.70474322385	-1050.33666251347
61_seed.data	-1529.87250524449	-1001.47094063388
62_seed.data	-1794.75152267836	-1193.21313818162
63_seed.data	-1677.93372420923	-1051.04224430542
64_seed.data	-1572.43499857958	-986.373120907904
65_seed.data	-1719.00617815728	-1036.04435404337
66_seed.data	-1854.63694706757	-1197.53720438258
67_seed.data	-1879.92947700794	-1189.99324878971
68_seed.data	-1796.67861972703	-1183.1416040278
69_seed.data	-1667.09294994456	-1089.20598976125
70_seed.data	-1631.87086702977	-1007.78653934635
71_seed.data	-1651.21670234805	-948.852211941395
72_seed.data	-1963.49415548347	-1304.92956614098
73_seed.data	-1837.36153140098	-1120.72343865124
74_seed.data	-1866.98597816332	-1239.14833784239
75_seed.data	-1604.63374480582	-892.52194301527
76_seed.data	-1890.3410750033	-1259.74631173864
77_seed.data	-1634.3743571113	-1045.45157472449
78_seed.data	-1885.47569402418	-1151.11737488309
79_seed.data	-1674.404235059	-1096.51348211524
