#file	clusteren	cluster-cluster
1_seed.data	-1373.79661455628	-763.846837738698
2_seed.data	-1144.44604517055	-659.3542352156
3_seed.data	-1122.99783456201	-669.470123248572
4_seed.data	-1371.48341403216	-732.945138148796
5_seed.data	-1414.84063350031	-846.264689068587
6_seed.data	-875.768688311724	-476.813109667385
7_seed.data	-900.510445687246	-501.728810064146
8_seed.data	-1276.18374344662	-594.432301418555
9_seed.data	-1314.22736013297	-638.689535960425
10_seed.data	-1245.76971700289	-646.569453036711
11_seed.data	-1307.3861622098	-657.064819807541
12_seed.data	-1295.12796668645	-822.519968140555
13_seed.data	-901.57357911471	-503.640479692271
14_seed.data	-1445.41717310272	-951.916550193721
15_seed.data	-1291.78458954234	-741.81175717199
16_seed.data	-1134.43485000364	-585.400604655617
17_seed.data	-1370.64690484964	-776.908575120138
18_seed.data	-1126.58489751318	-634.820035486049
19_seed.data	-1036.6391711961	-632.899567635159
20_seed.data	-1456.58316080315	-868.768983358432
21_seed.data	-988.535896049152	-620.460133316342
22_seed.data	-956.498232790927	-455.549815890675
23_seed.data	-1423.99292260016	-813.631264660519
24_seed.data	-864.344599616249	-432.475741252583
25_seed.data	-992.298949145025	-485.799163007684
26_seed.data	-1336.70835341092	-665.15420479931
27_seed.data	-1471.95435537615	-785.469063664196
28_seed.data	-1325.82649088974	-831.99099416677
29_seed.data	-908.606458493008	-533.28487558678
30_seed.data	-1348.62257582848	-679.94638606901
31_seed.data	-1140.02197765857	-657.527715450721
32_seed.data	-1125.04939716677	-536.846153494687
33_seed.data	-1283.58728330849	-740.353571431748
34_seed.data	-1240.76609829798	-656.539567170093
35_seed.data	-835.539739260646	-373.080504099088
36_seed.data	-1006.24871917749	-602.828230653225
37_seed.data	-1103.86454184995	-691.233499044142
38_seed.data	-880.354951576261	-519.915934020852
39_seed.data	-997.023362027553	-433.360510594868
40_seed.data	-1040.97244661483	-567.072920501741
41_seed.data	-1098.96269893278	-586.035209838336
42_seed.data	-1018.63299719611	-529.434237650048
43_seed.data	-1242.63812977729	-645.045382874145
44_seed.data	-1237.19687544109	-723.256150686033
45_seed.data	-1096.57231045506	-574.664700522038
46_seed.data	-1162.84547338418	-667.560990939155
47_seed.data	-1126.58034222971	-650.797921929404
48_seed.data	-1243.23114228264	-771.357709297333
49_seed.data	-1210.78241757573	-664.332024423685
50_seed.data	-1239.6361305466	-683.537785825799
51_seed.data	-1051.27447002262	-537.418863863979
52_seed.data	-1339.79719778031	-863.232310228461
53_seed.data	-1226.60712707086	-727.463512044231
54_seed.data	-891.121004360322	-452.328653265599
55_seed.data	-1028.58610245588	-536.467150425316
56_seed.data	-934.823716524328	-501.507813371192
57_seed.data	-1015.58989955035	-594.289471011977
58_seed.data	-1146.14816759513	-631.239188082513
59_seed.data	-1082.41193470018	-584.568615440129
60_seed.data	-1246.77361545661	-724.47754797922
61_seed.data	-949.315659386321	-516.149949678575
62_seed.data	-926.8000446291	-473.15549742057
63_seed.data	-910.400987670119	-481.351371080618
64_seed.data	-954.305055771672	-554.046494287406
65_seed.data	-819.62949008858	-306.155252356011
66_seed.data	-1050.60652095053	-403.828939763975
67_seed.data	-1114.74880127259	-679.74451371414
68_seed.data	-956.526489537658	-543.08005466232
69_seed.data	-873.322630648483	-439.066928385083
70_seed.data	-1443.28034585865	-839.658690353984
71_seed.data	-1251.27171780184	-786.756636067185
72_seed.data	-1220.30040815438	-626.532193966273
73_seed.data	-1435.8811926824	-798.590518504511
74_seed.data	-1226.5587102745	-664.411384877229
75_seed.data	-851.511335206052	-493.573876915291
76_seed.data	-1028.73896393552	-661.011192328437
77_seed.data	-885.886746315747	-391.009385935243
78_seed.data	-1024.33733995065	-563.341283604041
79_seed.data	-846.657024533156	-468.131991148262
80_seed.data	-1111.91875203158	-638.903902292295
81_seed.data	-1249.7954424798	-750.187811120052
82_seed.data	-1121.00487620071	-677.230012171948
83_seed.data	-1010.6100474392	-347.925297626816
84_seed.data	-982.89117986629	-561.490320431833
85_seed.data	-1011.32414174	-585.890527763483
86_seed.data	-1516.60290425969	-893.587619998292
87_seed.data	-1215.38321916408	-763.902568386005
88_seed.data	-1125.30045430518	-506.479717099815
89_seed.data	-945.153611097837	-548.443039586789
90_seed.data	-1264.49460068256	-711.178496789532
91_seed.data	-1184.83768991489	-640.826902542784
92_seed.data	-1090.62405557316	-633.220849049309
93_seed.data	-1437.8479922709	-879.66596094681
94_seed.data	-855.882685499463	-471.889051838319
95_seed.data	-1068.98873954215	-629.563261672676
96_seed.data	-1295.62122194085	-703.445792159814
97_seed.data	-1441.97597849159	-961.182911945883
98_seed.data	-830.38496889626	-354.649521162753
99_seed.data	-1149.52169083833	-665.261395448471
100_seed.data	-1278.19527368856	-817.568951129198
101_seed.data	-1037.62198785535	-554.918635023082
102_seed.data	-865.436209563672	-326.055155679751
103_seed.data	-1435.16981903113	-842.030927167725
104_seed.data	-1399.80493107042	-714.982159717736
105_seed.data	-951.142242096545	-464.24920268987
106_seed.data	-1194.68566046027	-480.563784381063
107_seed.data	-864.327379710321	-400.210100532175
108_seed.data	-1430.40002286262	-928.601651003171
109_seed.data	-1401.94211159525	-818.953604299923
110_seed.data	-1490.11322017763	-990.611400997278
111_seed.data	-878.24669216824	-551.668980435369
112_seed.data	-1400.65119831964	-825.708268005082
113_seed.data	-855.052011357223	-441.843299645505
114_seed.data	-1209.28371857362	-595.060899525289
115_seed.data	-867.122994780092	-544.982861025369
116_seed.data	-1146.85790616762	-611.548368664309
117_seed.data	-1285.86539994557	-760.535585930779
118_seed.data	-1163.6569491111	-672.903502190575
119_seed.data	-1124.83501606208	-595.1321359318
120_seed.data	-1098.98115291272	-447.800264045408
121_seed.data	-1060.25152937031	-619.754814893224
122_seed.data	-849.231114263796	-451.474359032261
123_seed.data	-1343.5888150195	-614.267647025719
124_seed.data	-1202.83712486133	-589.457402336447
125_seed.data	-1109.55744420105	-629.57755196575
126_seed.data	-1244.11011658426	-678.279807448094
127_seed.data	-1246.8407744079	-709.85424179908
128_seed.data	-1234.89461932497	-727.050113164345
129_seed.data	-991.722072107651	-588.257810436875
130_seed.data	-1100.91140664686	-577.682730697449
131_seed.data	-1023.20650953325	-510.042355185158
132_seed.data	-928.61058885491	-483.238561043145
133_seed.data	-1354.81173276512	-654.493569309095
134_seed.data	-1438.27483019875	-894.292820263189
135_seed.data	-1110.19399378871	-592.092295179388
136_seed.data	-1083.13460952383	-647.978976822231
137_seed.data	-993.916756836815	-631.576056235045
138_seed.data	-1234.50432440011	-635.607476919758
139_seed.data	-1349.47875222396	-839.349517461103
140_seed.data	-1457.67040479176	-883.78994299624
141_seed.data	-1116.17558395493	-685.484282891468
142_seed.data	-948.959313546966	-417.395753846819
143_seed.data	-979.533538666142	-476.780554263698
144_seed.data	-1124.13243574822	-541.94983752184
145_seed.data	-1489.10685187188	-867.701370051645
146_seed.data	-1062.8552763048	-638.748229613947
147_seed.data	-1023.34913826914	-514.666959745387
148_seed.data	-1069.15257980541	-677.187711393886
149_seed.data	-1320.60503853108	-814.374734010338
150_seed.data	-966.279428440312	-501.377452592163
151_seed.data	-1286.20493662813	-707.484302387343
152_seed.data	-1331.58594132375	-726.892028648655
153_seed.data	-986.748720643663	-571.882418959572
154_seed.data	-1207.30812284749	-724.876271221636
155_seed.data	-826.734495349295	-495.455374096758
156_seed.data	-860.209665724425	-391.566159088286
157_seed.data	-1436.06573397825	-853.034943240642
158_seed.data	-1266.10648129457	-684.713912800677
159_seed.data	-1018.27266351043	-633.423301044567
160_seed.data	-1036.51925622001	-496.739453618417
161_seed.data	-1270.32649528518	-699.600324810615
162_seed.data	-1449.66731604309	-877.787930537307
163_seed.data	-937.894754000629	-367.719342931507
164_seed.data	-1044.79240053534	-609.217272118806
165_seed.data	-843.551748347433	-433.413508692638
166_seed.data	-885.60007254057	-492.845196060859
167_seed.data	-848.946185649393	-498.265220066917
168_seed.data	-1062.267226606	-536.606991329138
169_seed.data	-1310.36714315321	-822.93802077516
170_seed.data	-1342.80509272946	-823.992220168929
171_seed.data	-934.999266076832	-455.056727167264
172_seed.data	-1152.32889568675	-656.218449968703
173_seed.data	-1009.33773697793	-553.322365518781
174_seed.data	-1215.71688326536	-744.081418861186
175_seed.data	-1021.23139827538	-565.219266778584
176_seed.data	-962.316439232555	-564.548462297479
177_seed.data	-981.49660852456	-491.709807093251
178_seed.data	-1263.43262140779	-778.44883254215
179_seed.data	-855.08172306825	-430.267183723441
180_seed.data	-865.756510093953	-416.557073939902
181_seed.data	-809.580617543118	-490.001814277906
182_seed.data	-955.339122247179	-449.124457038511
183_seed.data	-1375.43065190312	-614.458265786897
184_seed.data	-1328.08173335453	-818.079923203915
185_seed.data	-1310.16066348184	-759.351011760535
186_seed.data	-1290.92846730467	-771.305145085764
187_seed.data	-1401.20443198876	-901.424625760449
188_seed.data	-1435.41844416741	-882.636682678735
189_seed.data	-871.482230604464	-403.171576562873
190_seed.data	-1369.23918277481	-796.017161665992
191_seed.data	-1299.31399526258	-787.716449565553
192_seed.data	-912.32321877814	-499.847336328208
193_seed.data	-840.658774237479	-394.436299235902
194_seed.data	-846.043179576639	-442.824877175354
195_seed.data	-815.775195213944	-395.718436981374
196_seed.data	-1024.21392312795	-498.417661366009
197_seed.data	-1409.1974291931	-624.550156933781
198_seed.data	-933.409387267715	-523.398062604045
199_seed.data	-1141.98915254178	-688.641819775928
200_seed.data	-1012.43391007132	-589.839341091936
201_seed.data	-1194.30495062407	-694.922610637526
202_seed.data	-1461.72237081944	-908.825045981422
203_seed.data	-1233.83935156114	-683.815433900299
204_seed.data	-1141.09016661085	-666.109977859632
205_seed.data	-1008.97633945898	-578.921256828805
206_seed.data	-1005.29329814993	-541.199540065457
207_seed.data	-1080.47974863028	-597.992823073866
208_seed.data	-1121.10270823147	-624.462806838844
209_seed.data	-905.06165656374	-499.482092758253
210_seed.data	-1121.98581168714	-611.016445412842
211_seed.data	-1309.26303171819	-740.597946885638
212_seed.data	-1222.73430064361	-613.811645302375
213_seed.data	-1481.61182865545	-957.215580210287
214_seed.data	-1202.86681697131	-719.064690246566
215_seed.data	-847.2680850542	-447.363261774768
216_seed.data	-1500.05319855728	-1003.77094982196
217_seed.data	-1150.4053588273	-528.973168856286
218_seed.data	-1344.86379079628	-855.242408869595
219_seed.data	-1410.85881049671	-876.935013131514
220_seed.data	-1069.34416945244	-600.532915901345
221_seed.data	-1360.10533672586	-730.943612817465
222_seed.data	-836.476408334651	-407.056609696142
223_seed.data	-868.946806625371	-512.715344292595
224_seed.data	-1161.98795324911	-610.183937534442
225_seed.data	-1403.49036090288	-851.682678492313
226_seed.data	-861.071393457138	-440.524388035035
227_seed.data	-1437.08685673937	-861.667467014228
228_seed.data	-1084.90790470062	-656.979059407978
229_seed.data	-1083.40776761584	-581.639038085856
230_seed.data	-1072.38939480384	-603.460634633565
231_seed.data	-1402.03036285759	-769.340333626478
232_seed.data	-1131.75211351467	-598.024608770039
233_seed.data	-1117.18768612718	-640.66596235289
