#file	clusteren	cluster-cluster
1_seed.data	-1100.46537613884	-536.9430056601
2_seed.data	-1030.43950395132	-381.686568639405
3_seed.data	-1225.78068433403	-625.534188713671
4_seed.data	-1467.52547451048	-670.029234525562
5_seed.data	-852.595780222383	-460.453459462785
6_seed.data	-937.877643586309	-372.323134644315
7_seed.data	-1190.40092023609	-445.075162461374
8_seed.data	-917.368369346791	-378.91684554721
9_seed.data	-1053.29193559894	-480.467335334686
10_seed.data	-1493.32757764643	-707.886523362137
11_seed.data	-870.947636063589	-487.976505143279
12_seed.data	-952.600218824256	-368.003424102124
13_seed.data	-1252.9863410534	-655.7898123287
14_seed.data	-851.781166207058	-311.588221661788
15_seed.data	-857.160017807087	-410.431612491446
16_seed.data	-954.539567895575	-327.047902637942
17_seed.data	-851.869566750299	-390.330556735679
18_seed.data	-947.076841738116	-437.146737387597
19_seed.data	-837.440823310821	-289.008440604961
20_seed.data	-1137.83422656507	-387.401879748516
21_seed.data	-966.771434739226	-438.581129797663
22_seed.data	-906.590521350809	-443.183582463729
23_seed.data	-1013.55916873094	-324.368661093126
24_seed.data	-1097.08833987118	-442.731686763335
25_seed.data	-1338.33992565914	-604.798882496967
26_seed.data	-895.262703101508	-402.295876141426
27_seed.data	-916.003570414911	-334.733859740836
28_seed.data	-976.739266926859	-386.802336043116
29_seed.data	-1267.29307604427	-644.559095214096
30_seed.data	-899.753559300859	-476.799755567504
31_seed.data	-1035.42374010753	-490.475009885068
32_seed.data	-857.305377908641	-355.10872966997
33_seed.data	-1135.7617446513	-652.231768449426
34_seed.data	-1293.91020228478	-636.480271246051
35_seed.data	-1050.87608514601	-443.560752618585
36_seed.data	-1012.1521031225	-410.300789362419
37_seed.data	-1041.62861879167	-443.194198165882
38_seed.data	-979.614385211067	-413.956470523404
39_seed.data	-1041.68279276743	-522.501596672233
40_seed.data	-938.077931218239	-387.236823364262
41_seed.data	-1096.54184241143	-530.027698602688
42_seed.data	-1273.54578429677	-539.06109489236
43_seed.data	-1464.12095099302	-638.748753050303
44_seed.data	-1424.02897481887	-635.270332181569
45_seed.data	-949.195902382605	-425.55683201934
46_seed.data	-1039.70012948624	-509.427707074067
47_seed.data	-840.616532265208	-368.677419152733
48_seed.data	-1417.25259292175	-723.501012715629
49_seed.data	-1124.52342350001	-537.830429017857
50_seed.data	-843.979917179274	-397.994323242077
51_seed.data	-987.121910176275	-511.665432474429
52_seed.data	-1313.35954487513	-644.892203332186
53_seed.data	-821.05659250514	-313.002686071001
54_seed.data	-1228.05749706043	-470.912103403251
55_seed.data	-1148.94459044415	-476.506695211865
56_seed.data	-1016.36642930729	-371.292065368335
